Date,Open,High,Low,Close
01/10/2024,"41.8169","42.0144","41.6134","41.8601"
01/11/2024,"41.8678","42.0311","41.4703","41.6407"
01/12/2024,"41.6483","41.7923","41.3646","41.4515"
01/15/2024,"41.5120","41.7238","41.2778","41.5648"
01/16/2024,"41.5572","41.6770","41.1146","41.1714"
01/17/2024,"41.1752","41.5244","41.1297","41.3029"
01/18/2024,"41.2991","41.4080","40.9124","41.0626"
01/19/2024,"41.0664","41.2017","40.7438","41.0291"
01/22/2024,"41.1007","41.1007","40.6574","40.7587"
01/23/2024,"40.7550","41.0743","40.5677","40.7587"
01/24/2024,"40.7624","41.0818","40.6876","40.8751"
01/25/2024,"40.8788","41.1343","40.7468","40.8371"
01/26/2024,"40.8333","41.2802","40.7129","41.0881"
01/29/2024,"41.1260","41.2938","40.8248","41.1132"
01/30/2024,"41.1208","41.2710","40.8437","41.0465"
01/31/2024,"41.0427","41.0752","40.5371","40.6235"
02/01/2024,"40.6198","41.0626","40.4771","41.0437"
02/02/2024,"41.0400","41.0777","40.4808","40.5109"
02/05/2024,"40.5860","40.8232","40.3494","40.4493"
02/06/2024,"40.4456","40.6172","40.2743","40.4907"
02/07/2024,"40.4945","40.7191","40.4020","40.5585"
02/08/2024,"40.5660","40.7191","40.2906","40.5811"
02/09/2024,"40.5773","40.7853","40.3356","40.7153"
02/12/2024,"40.7002","41.1238","40.5397","40.8817"
02/13/2024,"40.8779","41.3969","40.8224","40.8530"
02/14/2024,"40.8606","41.2088","40.7231","40.9255"
02/15/2024,"40.9331","41.0710","40.6453","40.8893"
02/16/2024,"40.8741","41.2202","40.6172","41.1124"
02/19/2024,"41.1162","41.4511","41.0275","41.3471"
02/20/2024,"41.3433","41.8290","41.2087","41.6668"
02/21/2024,"41.6707","41.9062","41.4895","41.8174"
02/22/2024,"41.8213","42.1581","41.5357","41.6126"
02/23/2024,"41.6164","41.8715","41.4114","41.5043"
02/26/2024,"41.5657","41.8634","41.4191","41.7317"
02/27/2024,"41.7164","41.8943","41.5070","41.5925"
02/28/2024,"41.5887","41.6241","41.2421","41.3565"
02/29/2024,"41.3489","41.5849","41.0752","41.2230"
03/01/2024,"41.2307","41.5082","41.0997","41.3565"
03/04/2024,"41.3527","41.7356","41.3451","41.6309"
03/05/2024,"41.6347","41.8364","41.4764","41.7433"
03/06/2024,"41.7510","41.9251","41.4634","41.7996"
03/07/2024,"41.7958","41.8341","41.3965","41.6553"
03/08/2024,"41.6591","42.0029","41.4699","41.8436"
03/11/2024,"41.8628","42.1602","41.4585","42.0124"
03/12/2024,"42.0086","42.3005","41.0290","42.1333"
03/13/2024,"42.1294","42.6211","41.7748","42.4294"
03/14/2024,"42.4216","42.6094","42.0686","42.1697"
03/15/2024,"42.1736","42.5665","42.1465","42.3019"
03/18/2024,"42.3096","42.6951","42.2007","42.5737"
03/19/2024,"42.5659","42.7243","42.3088","42.5502"
03/20/2024,"42.5463","42.7773","42.3283","42.7616"
03/21/2024,"42.7577","42.8321","42.2822","42.2978"
03/22/2024,"42.3056","42.5058","41.9988","42.2072"
03/25/2024,"42.4259","42.7579","42.0914","42.6535"
03/26/2024,"42.6495","42.8605","42.4837","42.5098"
03/27/2024,"42.5176","42.7619","42.3740","42.6102"
03/28/2024,"42.6063","42.6238","42.1900","42.3488"
03/29/2024,"42.3528","42.4331","42.0667","42.3685"
04/01/2024,"42.3959","42.4685","42.1057","42.1683"
